assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
PFF,PFF,iShares Preferred and Income Securities ETF,preferred-equity,us,PFF,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2007-03-30,13097,,,,PREFX,2007-03-30,asset-class-proxy,"PREFX extends PFF's history back to 2000-12-29; return series match exactly (correlation 1.0000) over the overlapping period, so PREFX's pre-2007 prices behaved like a preferred-securities fund regardless of what it is called today. Caveat: Yahoo currently reports PREFX's name as 'T. Rowe Price Tax-Efficient Equity', which does not describe a preferred-securities strategy -- mutual fund tickers are sometimes reused after a merger or strategy change, so today's name may not describe the 2000-2007 fund this correlation was measured against. The proxy relationship rests on the measured return correlation, not on the current name; PREFX's own assetClass/name in this catalogue should be treated as unverified pending manual research."
PICK,PICK,iShares MSCI Global Metals & Mining Producers ETF,equity,global,PICK,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2012-02-02,,,,,,,,
PPLT,PPLT,abrdn Physical Platinum Shares ETF,equity,us,PPLT,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-01-08,,,,,,,,
PREFX,PREFX,T. Rowe Price Tax-Efficient Equity,equity,us,PREFX,yahoo-finance-chart-api,Nasdaq,USD,USD,USD,unhedged,False,,,,,,2000-12-29,,,,,,,,
PREMX,PREMX,T. Rowe Price Emerging Markets Bond,bond,emerging-markets,PREMX,yahoo-finance-chart-api,Nasdaq,USD,USD,USD,unhedged,False,,,,,,1994-12-30,,,,,,,,
QAI,QAI,NYLI Hedge Multi-Strategy Tracker ETF,alternative,us,QAI,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2009-03-25,1012,,,,,,,
QQQ,QQQ,Invesco QQQ Trust,equity,us,QQQ,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,1999-03-10,488908,,,,,,,
QUAL,QUAL,iShares MSCI USA Quality Factor ETF,equity,us,QUAL,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2013-07-18,,,,,,,,
REET,REET,iShares Global REIT ETF,real-estate,global,REET,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2014-07-10,,,,,,,,
REM,REM,iShares Mortgage Real Estate Capped ETF,real-estate,us,REM,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2007-05-04,,,,,,,,
REMX,REMX,VanEck Rare Earth and Strategic Metals ETF,equity,us,REMX,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-10-28,,,,,,,,
RLY,RLY,State Street Multi-Asset Real R,equity,us,RLY,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2012-04-26,,,,,,,,
SCHD,SCHD,Schwab U.S. Dividend Equity ETF,equity,us,SCHD,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-10-20,,,,,,,,
SCHH,SCHH,Schwab U.S. REIT ETF,real-estate,us,SCHH,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-01-13,8565,,,,,,,
SCHP,SCHP,Schwab U.S. TIPS ETF,bond,us,SCHP,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-08-05,,,,,,,,
SGOV,SGOV,iShares 0-3 Month Treasury Bond ETF,cash,us,SGOV,yahoo-finance-chart-api,NYSE,USD,USD,USD,unhedged,False,,,,,,2020-06-01,96216,,,,BIL,2020-06-01,asset-class-proxy,BIL (SPDR Bloomberg 1-3 Month T-Bill ETF) extends SGOV's history back to 2000-07-03; return series match exactly (correlation 1.0000) over the overlapping period.
